Date,GameID,TeamID
2017-01-03,11054,1002
2017-01-31,11126,1002
2017-01-06,11257,1002
2017-02-10,11499,1002
2017-02-14,11692,1002
2017-02-24,12210,1002
2017-02-07,12486,1002
2017-03-03,12766,1002
2017-03-09,12985,1002
2017-02-17,11823,1002
2017-02-21,12074,1002
2017-02-28,12275,1002
2017-02-04,12411,1002
2017-03-11,12666,1002
2017-01-10,10028,1069
2017-02-22,12114,1069
2017-01-01,10004,1069
2017-01-14,10243,1069
2017-01-16,10366,1069
2017-01-21,10586,1069
2017-01-28,10917,1069
2017-01-31,11113,1069
2017-01-07,11366,1069
2017-02-11,11530,1069
2017-02-13,11674,1069
2017-02-19,11978,1069
2017-02-28,12294,1069
2017-02-04,12345,1069
2017-02-08,12554,1069
2017-03-04,12803,1069
2017-03-08,12984,1069
2017-01-10,10029,1045
2017-01-14,10192,1045
2017-01-02,10509,1045
2017-01-28,10906,1045
2017-01-04,11145,1045
2017-02-14,11695,1045
2017-02-17,11834,1045
2017-02-04,12427,1045
2017-02-06,12478,1045
2017-03-02,12706,1045
2017-01-16,10342,1045
2017-01-20,10555,1045
2017-01-23,10733,1045
2017-01-30,11078,1045
2017-01-08,11404,1045
2017-02-10,11497,1045
2017-02-19,11991,1045
2017-02-24,12212,1045
2017-02-26,12228,1045
2017-03-03,12774,1045
2017-01-10,10030,1189
2017-01-16,10356,1189
2017-01-23,10739,1189
2017-01-28,10915,1189
2017-01-30,11092,1189
2017-01-04,11165,1189
2017-01-07,11275,1189
2017-02-18,11910,1189
2017-02-20,12054,1189
2017-02-27,12264,1189
2017-01-21,10667,1189
2017-02-11,11583,1189
2017-02-13,11677,1189
2017-02-04,12396,1189
2017-03-02,12727,1189
2017-03-09,13020,1189
2017-01-10,10031,1095
2017-01-18,10409,1095
2017-01-21,10596,1095
2017-01-07,11302,1095
2017-02-01,11469,1095
2017-02-20,12056,1095
2017-02-08,12529,1095
2017-03-04,12806,1095
2017-03-09,12999,1095
2017-01-14,10263,1095
2017-01-25,10788,1095
2017-01-28,11008,1095
2017-02-11,11597,1095
2017-02-18,11930,1095
2017-02-28,12285,1095
2017-01-10,10032,1111
2017-01-12,10123,1111
2017-01-23,10729,1111
2017-01-27,10884,1111
2017-01-06,11259,1111
2017-02-18,11905,1111
2017-02-02,12018,1111
2017-02-21,12083,1111
2017-02-26,12231,1111
2017-02-04,12362,1111
2017-01-16,10369,1111
2017-01-20,10550,1111
2017-01-29,11040,1111
2017-02-11,11648,1111
2017-02-24,12217,1111
2017-02-09,12597,1111
2017-03-05,12901,1111
2017-01-10,10033,1114
2017-01-16,10340,1114
2017-01-21,10604,1114
2017-01-27,10880,1114
2017-01-07,11291,1114
2017-02-10,11496,1114
2017-02-11,11650,1114
2017-02-17,11829,1114
2017-02-18,11879,1114
2017-02-24,12218,1114
2017-02-03,12306,1114
2017-01-02,10544,1114
2017-01-28,10913,1114
2017-02-04,12364,1114
2017-03-11,12672,1114
2017-03-03,12772,1114
2017-03-04,12852,1114
2017-01-10,10034,1137
2017-01-14,10304,1137
2017-01-21,10680,1137
2017-01-07,11321,1137
2017-02-01,11462,1137
2017-02-11,11561,1137
2017-02-04,12433,1137
2017-03-02,12718,1137
2017-03-03,12757,1137
2017-03-04,12871,1137
2017-01-19,10437,1137
2017-01-26,10841,1137
2017-01-28,10939,1137
2017-01-05,11212,1137
2017-02-18,11890,1137
2017-02-23,12162,1137
2017-02-09,12581,1137
2017-01-10,10035,1217
2017-01-14,10183,1217
2017-01-17,10389,1217
2017-01-28,11016,1217
2017-01-07,11349,1217
2017-02-21,12076,1217
2017-02-04,12408,1217
2017-01-21,10644,1217
2017-01-24,10755,1217
2017-01-03,11066,1217
2017-01-31,11126,1217
2017-02-11,11644,1217
2017-02-14,11710,1217
2017-02-18,11923,1217
2017-02-28,12291,1217
2017-02-07,12489,1217
2017-03-03,12756,1217
2017-03-06,12919,1217
2017-01-10,10036,1162
2017-01-13,10170,1162
2017-01-26,10856,1162
2017-02-19,11990,1162
2017-02-04,12385,1162
2017-01-17,10384,1162
2017-01-02,10524,1162
2017-01-20,10553,1162
2017-01-22,10705,1162
2017-01-28,10906,1162
2017-01-31,11115,1162
2017-01-05,11219,1162
2017-01-07,11359,1162
2017-02-10,11500,1162
2017-02-12,11657,1162
