Date	WinningTeam	WinningScore	LosingTeam	LosingScore
2017-2-16	Saint Francis (PA)	80	Central Connecticut	71	
2017-2-16	Northern Kentucky	62	Cleveland State	60	
2017-2-16	UConn	65	Memphis	62	
2017-2-16	Delaware	68	Drexel	67	
2017-2-16	Gonzaga	96	San Francisco	61	
2017-2-16	College of Charleston	76	Hofstra	72	
2017-2-16	Houston Baptist	88	Sam Houston State	77	
2017-2-16	North Dakota	77	Idaho State	61	
2017-2-16	James Madison	95	William & Mary	92	
2017-2-16	Jacksonville	79	Kennesaw State	78	
2017-2-16	North Florida	93	Lipscomb	82	
2017-2-16	Long Beach State	78	UC-Davis	69	
2017-2-16	Louisiana Tech	95	Florida Atlantic	69	
2017-2-16	Marshall	74	Alabama-Birmingham	59	
2017-2-16	Abilene Christian	82	McNeese State	78	
2017-2-16	Michigan	64	Wisconsin	58	
2017-2-16	Monmouth	93	Niagara	75	
2017-2-16	Sacramento State	67	Montana	65	
2017-2-16	Montana State	92	Portland State	90	
2017-2-16	Murray State	84	Southern Illinois-Edwardsville	73	
2017-2-16	Nebraska-Omaha	83	Oral Roberts	76	
2017-2-16	Nicholls State	96	Central Arkansas	89	
2017-2-16	Florida Gulf Coast	80	NJIT	73	
2017-2-16	UTEP	77	North Texas	71	
2017-2-16	North Carolina-Wilmington	66	Northeastern	65	
2017-2-16	Southeastern Louisiana	73	Northwestern State	66	
2017-2-16	Oregon	79	Utah	61	
2017-2-16	Colorado	60	Oregon State	52	
2017-2-16	Pacific	76	Portland	65	
2017-2-16	Rice	80	UTSA	68	
2017-2-16	Sacred Heart	91	Fairleigh Dickinson	81	
2017-2-16	Saint Mary's (CA)	81	Loyola Marymount	48	
2017-2-16	Santa Clara	106	Pepperdine	55	
2017-2-16	Grand Canyon	61	Seattle	58	
2017-2-16	Siena	94	Manhattan	71	
2017-2-16	Stetson	83	South Carolina Upstate	72	
2017-2-16	Southern Miss	69	Florida International	66	
2017-2-16	Stephen F. Austin	70	Lamar	61	
2017-2-16	Tennessee State	64	Morehead State	52	
2017-2-16	Towson	85	Elon	66	
2017-2-16	Cal State Bakersfield	80	Utah Valley	71	
2017-2-16	Vanderbilt	72	Texas A&M;	67	
2017-2-16	Wagner	69	Mount St. Mary's	65	
2017-2-16	Arizona State	83	Washington	81	
2017-2-16	Arizona	78	Washington State	59	
2017-2-16	Weber State	69	Northern Colorado	63	
2017-2-16	Middle Tennessee	78	Western Kentucky	52	
2017-2-16	Wright State	84	Youngstown State	81	
2017-2-17	Kent State	70	Akron	67	
2017-2-17	Arkansas State	67	Arkansas-Little Rock	58	
2017-2-17	Penn	96	Brown	72	
2017-2-17	Cornell	69	Dartmouth	65	
2017-2-17	UIC	74	Detroit	69	
2017-2-17	Eastern Washington	77	Idaho	67	
2017-2-17	Harvard	78	Columbia	72	
2017-2-17	Iona	95	Marist	88	
2017-2-17	Oakland	82	Valparaiso	71	
2017-2-17	Fairfield	89	Quinnipiac	86	
2017-2-17	VCU	84	Richmond	73	
2017-2-17	Canisius	85	Rider	77	
2017-2-17	Stanford	73	University of California	68	
2017-2-17	Princeton	71	Yale	52	
2017-2-18	Alabama	90	LSU	72	
2017-2-18	Alcorn State	75	Alabama State	67	
2017-2-18	Arkansas	98	Ole Miss	80	
2017-2-18	Austin Peay	92	Southern Illinois-Edwardsville	84	
2017-2-18	Kansas	67	Baylor	65	
2017-2-18	Belmont	89	Morehead State	73	
2017-2-18	Bethune-Cookman	62	Hampton	61	
2017-2-18	Boise State	91	Wyoming	87	
2017-2-18	Bradley	84	Evansville	72	
2017-2-18	Saint Mary's (CA)	70	BYU	57	
2017-2-18	Princeton	66	Brown	51	
2017-2-18	Bryant	79	Saint Francis (PA)	75	
2017-2-18	Buffalo	71	Miami (OH)	58	
2017-2-18	Hawaii	82	Cal Poly	61	
2017-2-18	Cal State Fullerton	79	UC-Davis	72	
2017-2-18	UC-Irvine	79	UC-Riverside	60	
2017-2-18	Long Beach State	66	UCSB	48	
2017-2-18	North Carolina-Asheville	66	Campbell	53	
2017-2-18	Robert Morris	74	Central Connecticut	64	
2017-2-18	Ball State	109	Central Michigan	100	
2017-2-18	Charleston Southern	76	High Point	75	
2017-2-18	ETSU	65	Chattanooga	51	
2017-2-18	Cincinnati	80	Tulsa	60	
2017-2-18	Mercer	89	Citadel	78	
2017-2-18	Wright State	74	Cleveland State	68	
2017-2-18	Dartmouth	80	Columbia	79	
2017-2-18	Dayton	76	St. Bonaventure	72	
2017-2-18	William & Mary	85	Delaware	64	
2017-2-18	Missouri State	76	Drake	73	
2017-2-18	Elon	65	Drexel	56	
2017-2-18	Duke	99	Wake Forest	94	
2017-2-18	UCF	61	East Carolina	58	
2017-2-18	Mount St. Mary's	79	Fairleigh Dickinson	74	
2017-2-18	Norfolk State	77	Florida A&M;	65	
2017-2-18	Fordham	54	Saint Louis	40	
2017-2-18	Fresno State	71	New Mexico	61	
2017-2-18	North Carolina-Greensboro	73	Furman	52	
2017-2-18	Rhode Island	77	George Mason	74	
2017-2-18	Kentucky	82	Georgia	77	
2017-2-18	Georgia Southern	70	Texas State	67	
2017-2-18	Texas-Arlington	68	Georgia State	67	
2017-2-18	Gonzaga	82	Pacific	61	
2017-2-18	Harvard	87	Cornell	75	
2017-2-18	North Carolina-Wilmington	83	Hofstra	76	
2017-2-18	SMU	76	Houston	66	
2017-2-18	Houston Baptist	92	Hillsdale	78	
2017-2-18	Howard	84	North Carolina A&T;	53	
2017-2-18	Northern Colorado	87	Idaho State	81	
2017-2-18	Incarnate Word	69	Sam Houston State	53	
2017-2-18	Illinois	70	Iowa	66	
2017-2-18	Iowa State	84	Texas Christian	71	
2017-2-18	South Dakota State	97	IPFW	89	
2017-2-18	Grambling	62	Jackson State	59	
2017-2-18	Tennessee Tech	79	Jacksonville State	78	
2017-2-18	Kennesaw State	85	North Florida	68	
2017-2-18	La Salle	83	St. Joseph's	68	
2017-2-18	Lipscomb	81	Jacksonville	69	
2017-2-18	LIU-Brooklyn	83	Sacred Heart	82	
2017-2-18	Louisiana-Lafayette	85	Louisiana-Monroe	84	
2017-2-18	Louisiana Tech	77	Florida International	61	
2017-2-18	Louisville	94	Virginia Tech	90	
2017-2-18	Loyola Marymount	82	Pepperdine	61	
2017-2-18	Marquette	83	Xavier	61	
2017-2-18	Middle Tennessee	97	Marshall	86	
2017-2-18	UMBC	108	UMass-Lowell	102	
2017-2-18	North Carolina Central	82	Maryland-Eastern Shore	69	
2017-2-18	Davidson	79	UMass	74	
2017-2-18	Miami (FL)	71	Clemson	65	
2017-2-18	Green Bay	80	Milwaukee	56	
2017-2-18	Florida	57	Mississippi State	52	
2017-2-18	UMKC	84	Chicago State	65	
2017-2-18	Montana	85	Portland State	82	
2017-2-18	Montana State	62	Sacramento State	59	
2017-2-18	Morgan State	83	Savannah State	75	
2017-2-18	Eastern Illinois	82	Murray State	65	
2017-2-18	Army	71	Navy	68	
2017-2-18	Nevada	77	Utah State	66	
2017-2-18	New Hampshire	82	Hartford	52	
2017-2-18	New Orleans	84	Central Arkansas	61	
2017-2-18	Northwestern State	80	Nicholls State	78	
2017-2-18	NJIT	60	Stetson	56	
2017-2-18	UNC	65	Virginia	41	
2017-2-18	Notre Dame	81	North Carolina State	72	
2017-2-18	North Dakota State	100	Western Illinois	91	
2017-2-18	North Texas	83	UTSA	73	
2017-2-18	College of Charleston	85	Northeastern	71	
2017-2-18	Toledo	88	Northern Illinois	80	
2017-2-18	Northwestern	69	Rutgers	65	
2017-2-18	Ohio	95	Bowling Green State	75	
2017-2-18	Nebraska	58	Ohio State	57	
2017-2-18	Oklahoma State	96	Oklahoma	92	
2017-2-18	Old Dominion	72	Charlotte	48	
2017-2-18	Oregon	101	Colorado	73	
2017-2-18	Pitt	80	Florida State	66	
2017-2-18	San Francisco	65	Portland	51	
2017-2-18	Prairie View	82	Mississippi Valley State	69	
2017-2-18	Gardner-Webb	84	Presbyterian	56	
2017-2-18	Purdue	80	Michigan State	63	
2017-2-18	Radford	79	Longwood	72	
2017-2-18	UTEP	79	Rice	71	
2017-2-18	Samford	80	Virginia Military Institute	61	
2017-2-18	San Jose State	83	Air Force	78	
2017-2-18	San Diego	60	Santa Clara	58	
2017-2-18	Cal State Bakersfield	51	Seattle	48	
2017-2-18	Villanova	92	Seton Hall	70	
2017-2-18	Siena	76	Niagara	70	
2017-2-18	South Alabama	87	Appalachian State	74	
2017-2-18	South Carolina State	84	Coppin State	79	
2017-2-18	Florida Gulf Coast	97	South Carolina Upstate	89	
2017-2-18	South Dakota	86	Oral Roberts	72	
2017-2-18	Southeast Missouri State	90	UT-Martin	61	
2017-2-18	Stephen F. Austin	60	Southeastern Louisiana	52	
2017-2-18	Southern	77	Alabama A&M;	64	
2017-2-18	Florida Atlantic	94	Southern Miss	82	
2017-2-18	Southern Utah	84	Northern Arizona	68	
2017-2-18	Wagner	73	St. Francis (NY)	55	
2017-2-18	Stony Brook	76	Binghamton	55	
2017-2-18	Tennessee	90	Missouri	70	
2017-2-18	Tennessee State	68	Eastern Kentucky	66	
2017-2-18	Kansas State	64	Texas	61	
2017-2-18	Texas A&M;	81	Auburn	62	
2017-2-18	Texas A&M-Corpus; Christi	70	Lamar	63	
2017-2-18	New Mexico State	107	Texas-Rio Grande Valley	101	
2017-2-18	Texas Southern	78	Arkansas-Pine Bluff	40	
2017-2-18	Towson	75	James Madison	65	
2017-2-18	Troy	87	Coastal Carolina	78	
2017-2-18	Tulane	94	South Florida	71	
2017-2-18	UCLA	102	USC	70	
2017-2-18	Grand Canyon	77	Utah Valley	71	
2017-2-18	Vanderbilt	71	South Carolina	62	
2017-2-18	Arizona	76	Washington	68	
2017-2-18	Washington State	86	Arizona State	71	
2017-2-18	North Dakota	77	Weber State	68	
2017-2-18	West Virginia	83	Texas Tech	74	
2017-2-18	Western Michigan	88	Eastern Michigan	80	
2017-2-18	Wichita State	73	Northern Iowa	44	
2017-2-18	Winthrop	84	Liberty	67	
2017-2-18	Wofford	84	Western Carolina	56	
2017-2-18	Youngstown State	81	Northern Kentucky	77	
2017-2-19	Holy Cross	69	American	54	
2017-2-19	Bucknell	86	Boston University	66	
2017-2-19	Butler	82	DePaul	66	
2017-2-19	Creighton	87	Georgetown	70	
2017-2-19	IUPUI	83	Denver	72	
2017-2-19	Valparaiso	83	Detroit	63	
2017-2-19	George Washington	77	Duquesne	70	
2017-2-19	Georgia Tech	71	Syracuse	65	
2017-2-19	Illinois State	65	Loyola (IL)	63	
2017-2-19	Southern Illinois	74	Indiana State	68	
2017-2-19	Rider	103	Iona	85	
2017-2-19	Lehigh	81	Lafayette	55	
2017-2-19	Colgate	66	Loyola (MD)	56	
2017-2-19	Albany (NY)	74	Maine	56	
2017-2-19	Manhattan	95	Quinnipiac	74	
2017-2-19	Marist	76	Canisius	74	
2017-2-19	Minnesota	83	Michigan	78	
2017-2-19	Oakland	87	UIC	75	
2017-2-19	Oregon State	68	Utah	67	
2017-2-19	St. Peter's	74	Fairfield	55	
2017-2-19	San Diego State	77	UNLV	64	
2017-2-19	UConn	64	Temple	63	
2017-2-19	Western Kentucky	76	Alabama-Birmingham	64	
