Date	WinningTeam	WinningScore	LosingTeam	LosingScore
2017-2-4	South Dakota State	74	Oral Roberts	67	
2017-2-4	Morehead State	89	Southeast Missouri State	81	
2017-2-4	Southern	67	Grambling	66	
2017-2-4	Jacksonville State	72	Southern Illinois-Edwardsville	61	
2017-2-4	Western Kentucky	64	Southern Miss	47	
2017-2-4	VCU	83	St. Bonaventure	77	
2017-2-4	Robert Morris	78	St. Francis (NY)	54	
2017-2-4	Stanford	81	Utah	75	
2017-2-4	Syracuse	66	Virginia	62	
2017-2-4	UT-Martin	85	Eastern Kentucky	68	
2017-2-4	Texas-Arlington	76	Texas State	61	
2017-2-4	Texas Christian	78	Texas	63	
2017-2-4	UTEP	57	Middle Tennessee	54	
2017-2-4	UMKC	73	Texas-Rio Grande Valley	60	
2017-2-4	UTSA	82	Alabama-Birmingham	67	
2017-2-4	Texas Southern	74	Prairie View	61	
2017-2-4	Texas Tech	77	Oklahoma	69	
2017-2-4	Towson	82	William & Mary	80	
2017-2-4	South Alabama	76	Troy	71	
2017-2-4	SMU	76	Tulsa	53	
2017-2-4	Ole Miss	81	Vanderbilt	74	
2017-2-4	Villanova	92	St. John's (NY)	79	
2017-2-4	Wake Forest	81	Georgia Tech	69	
2017-2-4	UCLA	107	Washington	66	
2017-2-4	USC	86	Washington State	77	
2017-2-4	Weber State	86	Northern Arizona	80	
2017-2-4	Oklahoma State	82	West Virginia	75	
2017-2-4	Nebraska-Omaha	79	Western Illinois	67	
2017-2-4	Wichita State	86	Illinois State	45	
2017-2-4	Winthrop	76	Campbell	62	
2017-2-4	Northern Kentucky	83	Wright State	79	
2017-2-4	Detroit	90	Youngstown State	80	
