Date	WinningTeam	WinningScore	LosingTeam	LosingScore
2017-1-16	Georgia Southern	62	Louisiana-Monroe	60	
2017-1-16	Loyola (MD)	77	Boston University	69	
2017-1-16	Albany (NY)	77	UMBC	50	
2017-1-16	Stony Brook	86	UMass-Lowell	75	
2017-1-16	Morgan State	82	North Carolina A&T;	53	
2017-1-16	Vermont	71	New Hampshire	59	
2017-1-16	Marist	93	Niagara	87	
2017-1-16	UNC	85	Syracuse	68	
2017-1-16	Northern Arizona	83	Portland State	76	
2017-1-16	Cleveland State	76	Oakland	65	
2017-1-16	Prairie View	94	Grambling	82	
2017-1-16	Texas-Arlington	89	South Alabama	83	
2017-1-16	Savannah State	86	South Carolina State	82	
2017-1-16	Southern	87	Mississippi Valley State	81	
2017-1-16	St. John's (NY)	78	DePaul	68	
2017-1-16	Texas Southern	67	Jackson State	44	
2017-1-16	Texas State	75	Troy	71	
2017-1-16	Valparaiso	80	Green Bay	56	
2017-1-16	Villanova	76	Seton Hall	46	
2017-1-16	Creighton	72	Xavier	67	
2017-1-17	Akron	83	Ohio	68	
2017-1-17	Ball State	98	Central Michigan	83	
2017-1-17	Baylor	74	Texas	64	
2017-1-17	New Mexico	81	Boise State	70	
2017-1-17	UCF	86	South Florida	64	
2017-1-17	Eastern Michigan	86	Western Michigan	80	
2017-1-17	Wichita State	82	Evansville	65	
2017-1-17	St. Peter's	69	Fairfield	55	
2017-1-17	Georgia	76	Vanderbilt	68	
2017-1-17	Grand Canyon	90	San Diego Christian	58	
2017-1-17	UIC	71	Milwaukee	57	
2017-1-17	Buffalo	82	Kent State	69	
2017-1-17	Iona	82	Manhattan	67	
2017-1-17	Ole Miss	80	Tennessee	69	
2017-1-17	Kentucky	88	Mississippi State	81	
2017-1-17	San Diego State	64	UNLV	51	
2017-1-17	North Carolina State	79	Pitt	74	
2017-1-17	Northern Illinois	62	Miami (OH)	58	
2017-1-17	Purdue	91	Illinois	68	
2017-1-17	St. Bonaventure	71	Saint Louis	52	
2017-1-17	Siena	78	Rider	68	
2017-1-17	Arkansas	62	Texas A&M;	60	
2017-1-17	Toledo	85	Bowling Green State	73	
2017-1-17	Wisconsin	68	Michigan	64	
2017-1-18	Alabama	68	Missouri	56	
2017-1-18	American	71	Lafayette	57	
2017-1-18	Holy Cross	85	Army	76	
2017-1-18	Auburn	78	LSU	74	
2017-1-18	Virginia	71	Boston College	54	
2017-1-18	Colgate	67	Boston University	58	
2017-1-18	Illinois State	69	Bradley	49	
2017-1-18	Bucknell	76	Loyola (MD)	63	
2017-1-18	UC-Irvine	70	Cal Poly	48	
2017-1-18	UC-Riverside	71	Cal State Fullerton	63	
2017-1-18	Chicago State	77	Roosevelt	57	
2017-1-18	Cincinnati	81	Temple	74	
2017-1-18	Drake	88	Southern Illinois	84	
2017-1-18	Florida State	83	Notre Dame	80	
2017-1-18	Fordham	69	VCU	67	
2017-1-18	Fresno State	78	Colorado State	57	
2017-1-18	George Washington	65	Duquesne	63	
2017-1-18	Hawaii	80	Cal State Northridge	77	
2017-1-18	Missouri State	73	Indiana State	68	
2017-1-18	IUPUI	85	South Dakota State	83	
2017-1-18	UMass	62	St. Joseph's	57	
2017-1-18	McNeese State	82	Central Arkansas	72	
2017-1-18	Navy	75	Lehigh	72	
2017-1-18	Ohio State	67	Nebraska	66	
2017-1-18	Nebraska-Omaha	97	Denver	88	
2017-1-18	Nevada	83	Air Force	76	
2017-1-18	Northern Iowa	72	Loyola (IL)	69	
2017-1-18	Kansas State	96	Oklahoma State	88	
2017-1-18	Oral Roberts	90	South Dakota	80	
2017-1-18	Indiana	78	Penn State	75	
2017-1-18	Wyoming	80	San Jose State	70	
2017-1-18	South Carolina	57	Florida	53	
2017-1-18	Texas Tech	75	Texas Christian	69	
2017-1-18	Tulsa	89	Tulane	82	
2017-1-18	Virginia Tech	62	Georgia Tech	61	
2017-1-18	Wake Forest	96	Miami (FL)	79	
2017-1-18	Washington	85	Colorado	83	
2017-1-18	Utah	88	Washington State	47	
2017-1-18	Oklahoma	89	West Virginia	87	
2017-1-19	Albany (NY)	84	Binghamton	65	
2017-1-19	Morehead State	89	Austin Peay	82	
2017-1-19	Belmont	77	Jacksonville State	60	
2017-1-19	BYU	99	Pepperdine	70	
2017-1-19	High Point	83	Campbell	78	
2017-1-19	North Carolina-Wilmington	65	College of Charleston	59	
2017-1-19	Dayton	75	Richmond	59	
2017-1-19	Delaware	69	Northeastern	62	
2017-1-19	Eastern Washington	84	Northern Arizona	62	
2017-1-19	Elon	93	Drexel	73	
2017-1-19	Fairleigh Dickinson	57	St. Francis (NY)	40	
2017-1-19	Alabama-Birmingham	80	Florida Atlantic	78	
2017-1-19	South Carolina Upstate	62	Florida Gulf Coast	60	
2017-1-19	Middle Tennessee	65	Florida International	52	
2017-1-19	Furman	75	ETSU	62	
2017-1-19	Towson	86	Hofstra	80	
2017-1-19	Memphis	70	Houston	67	
2017-1-19	Idaho	79	Southern Utah	67	
2017-1-19	Maryland	84	Iowa	76	
2017-1-19	Lipscomb	112	Jacksonville	95	
2017-1-19	La Salle	91	Davidson	83	
2017-1-19	Liberty	65	Gardner-Webb	62	
2017-1-19	Long Beach State	81	UCSB	76	
2017-1-19	LIU-Brooklyn	76	Wagner	69	
2017-1-19	Radford	72	Longwood	60	
2017-1-19	Louisiana Tech	74	Rice	64	
2017-1-19	Louisville	92	Clemson	60	
2017-1-19	San Diego	69	Loyola Marymount	62	
2017-1-19	New Hampshire	74	Maine	63	
2017-1-19	Murray State	86	Eastern Kentucky	79	
2017-1-19	New Orleans	72	Houston Baptist	64	
2017-1-19	Nicholls State	62	Abilene Christian	59	
2017-1-19	North Carolina-Greensboro	68	Mercer	66	
2017-1-19	North Dakota	83	Weber State	77	
2017-1-19	North Dakota State	89	IPFW	83	
2017-1-19	North Florida	86	Kennesaw State	84	
2017-1-19	Idaho State	73	Northern Colorado	69	
2017-1-19	Oregon	86	University of California	63	
2017-1-19	Stanford	62	Oregon State	46	
2017-1-19	Portland State	88	Montana	79	
2017-1-19	Charleston Southern	73	Presbyterian	52	
2017-1-19	Robert Morris	74	Central Connecticut	67	
2017-1-19	Montana State	74	Sacramento State	65	
2017-1-19	Mount St. Mary's	86	Sacred Heart	75	
2017-1-19	Saint Francis (PA)	75	Bryant	61	
2017-1-19	Saint Mary's (CA)	62	Pacific	50	
2017-1-19	St. Peter's	77	Siena	65	
2017-1-19	Sam Houston State	87	Lamar	65	
2017-1-19	San Francisco	75	Portland	50	
2017-1-19	Gonzaga	88	Santa Clara	57	
2017-1-19	Southeast Missouri State	79	Southern Illinois-Edwardsville	76	
2017-1-19	Arizona	73	USC	66	
2017-1-19	SMU	69	UConn	49	
2017-1-19	Southern Miss	75	North Texas	65	
2017-1-19	Stetson	82	NJIT	76	
2017-1-19	Stony Brook	80	Hartford	64	
2017-1-19	UT-Martin	82	Eastern Illinois	71	
2017-1-19	Tennessee Tech	80	Tennessee State	74	
2017-1-19	Stephen F. Austin	61	Texas A&M-Corpus; Christi	58	
2017-1-19	UCLA	102	Arizona State	80	
2017-1-19	Vermont	81	UMass-Lowell	67	
2017-1-19	Western Carolina	100	Citadel	95	
2017-1-19	William & Mary	73	James Madison	72	
2017-1-19	Winthrop	76	North Carolina-Asheville	73	
2017-1-19	Wofford	88	Virginia Military Institute	70	
2017-1-2	Jackson State	63	Alabama A&M;	51	
2017-1-2	Alabama State	73	Grambling	69	
2017-1-2	Albany (NY)	69	Cornell	59	
2017-1-2	Texas Southern	67	Alcorn State	65	
2017-1-2	Louisiana-Lafayette	69	Arkansas-Little Rock	52	
2017-1-2	Arkansas-Pine Bluff	105	Mississippi Valley State	91	
2017-1-2	Arkansas State	76	Louisiana-Monroe	45	
2017-1-2	Boston University	75	Lehigh	61	
2017-1-2	Bucknell	84	Army	76	
2017-1-2	Canisius	82	Siena	79	
2017-1-2	Lamar	78	Central Arkansas	75	
2017-1-2	Rice	89	Charlotte	70	
2017-1-2	American	67	Colgate	64	
2017-1-2	College of Charleston	65	Delaware	56	
2017-1-2	Northeastern	75	Drexel	70	
2017-1-2	Fairfield	93	Iona	87	
2017-1-2	Marshall	89	Florida Atlantic	72	
2017-1-2	Western Kentucky	69	Florida International	66	
2017-1-2	Furman	71	Mercer	69	
2017-1-2	William & Mary	95	Hofstra	93	
2017-1-2	Holy Cross	51	Navy	50	
2017-1-2	James Madison	64	Towson	44	
2017-1-2	Lafayette	78	Loyola (MD)	69	
2017-1-2	Columbia	98	Maine	73	
2017-1-2	Marist	90	Manhattan	88	
2017-1-2	Maryland-Eastern Shore	90	Valley Forge	65	
2017-1-2	McNeese State	69	Stephen F. Austin	54	
2017-1-2	South Carolina Upstate	84	UMKC	75	
2017-1-2	New Hampshire	95	Wheelock	50	
2017-1-2	Quinnipiac	81	Niagara	78	
2017-1-2	Nicholls State	68	Texas A&M-Corpus; Christi	64	
2017-1-2	North Carolina-Greensboro	73	Chattanooga	68	
